date,open,high,low,close,volume
12-12-1980,0.0992,0.0996,0.0992,0.0992,469033600
15-12-1980,0.0945,0.0945,0.094,0.094,175884800
16-12-1980,0.0875,0.0875,0.0871,0.0871,105728000
17-12-1980,0.0893,0.0897,0.0893,0.0893,86441600
18-12-1980,0.0919,0.0923,0.0919,0.0919,73449600
19-12-1980,0.0975,0.0979,0.0975,0.0975,48630400
22-12-1980,0.1022,0.1026,0.1022,0.1022,37363200
23-12-1980,0.1065,0.107,0.1065,0.1065,46950400
24-12-1980,0.1121,0.1126,0.1121,0.1121,48003200
26-12-1980,0.1225,0.1229,0.1225,0.1225,55574400
29-12-1980,0.1242,0.1247,0.1242,0.1242,93161600
30-12-1980,0.1216,0.1216,0.1212,0.1212,68880000
31-12-1980,0.1182,0.1182,0.1178,0.1178,35750400
02-01-1981,0.119,0.1199,0.119,0.119,21660800
05-01-1981,0.1169,0.1169,0.1164,0.1164,35728000
06-01-1981,0.1117,0.1117,0.1113,0.1113,45158400
07-01-1981,0.107,0.107,0.1065,0.1065,55686400
08-01-1981,0.1048,0.1048,0.1044,0.1044,39827200
09-01-1981,0.11,0.1104,0.11,0.11,21504000
12-01-1981,0.11,0.11,0.1091,0.1091,23699200
13-01-1981,0.1057,0.1057,0.1052,0.1052,23049600
14-01-1981,0.1057,0.1061,0.1057,0.1057,14291200
15-01-1981,0.1078,0.1087,0.1078,0.1078,14067200
16-01-1981,0.1074,0.1074,0.107,0.107,13395200
19-01-1981,0.1134,0.1139,0.1134,0.1134,41574400
20-01-1981,0.1104,0.1104,0.11,0.11,30083200
21-01-1981,0.1121,0.113,0.1121,0.1121,15904000
22-01-1981,0.1134,0.1143,0.1134,0.1134,35548800
23-01-1981,0.1134,0.1139,0.113,0.113,11222400
26-01-1981,0.1117,0.1117,0.1113,0.1113,24640000
27-01-1981,0.1113,0.1113,0.1104,0.1104,23699200
28-01-1981,0.1074,0.1074,0.107,0.107,28156800
29-01-1981,0.1035,0.1035,0.1031,0.1031,43904000
30-01-1981,0.0983,0.0983,0.0975,0.0975,46188800
02-02-1981,0.0923,0.0923,0.0919,0.0919,23766400
03-02-1981,0.0953,0.0957,0.0953,0.0953,19152000
04-02-1981,0.0987,0.0992,0.0987,0.0987,27865600
05-02-1981,0.0987,0.0996,0.0987,0.0987,7929600
06-02-1981,0.0992,0.0996,0.0992,0.0992,13865600
09-02-1981,0.0949,0.0949,0.094,0.094,16755200
10-02-1981,0.094,0.0945,0.094,0.094,18345600
11-02-1981,0.0914,0.0914,0.091,0.091,13843200
12-02-1981,0.0906,0.0906,0.0902,0.0902,14560000
13-02-1981,0.0888,0.0888,0.088,0.088,11155200
17-02-1981,0.0902,0.0906,0.0902,0.0902,12275200
18-02-1981,0.094,0.0949,0.094,0.094,19241600
19-02-1981,0.0888,0.0888,0.0884,0.0884,22310400
20-02-1981,0.0841,0.0841,0.0837,0.0837,24371200
23-02-1981,0.0849,0.0854,0.0849,0.0849,14112000
24-02-1981,0.0828,0.0828,0.0819,0.0819,16979200
25-02-1981,0.0871,0.0875,0.0871,0.0871,19488000
26-02-1981,0.0884,0.0888,0.0884,0.0884,10841600
27-02-1981,0.0914,0.0923,0.0914,0.0914,14761600
02-03-1981,0.0919,0.0923,0.0919,0.0919,11760000
03-03-1981,0.091,0.091,0.0906,0.0906,16172800
04-03-1981,0.0902,0.0902,0.0897,0.0897,13708800
05-03-1981,0.0897,0.0897,0.0893,0.0893,5376000
06-03-1981,0.0893,0.0893,0.0884,0.0884,11603200
09-03-1981,0.0819,0.0819,0.0815,0.0815,15321600
10-03-1981,0.0781,0.0781,0.0776,0.0776,28380800
11-03-1981,0.0755,0.0755,0.0746,0.0746,29859200
12-03-1981,0.0776,0.0781,0.0776,0.0776,59248000
13-03-1981,0.0772,0.0772,0.0768,0.0768,231302400
16-03-1981,0.0798,0.0806,0.0798,0.0798,37228800
17-03-1981,0.0837,0.0845,0.0837,0.0837,43747200
18-03-1981,0.0888,0.0897,0.0888,0.0888,36937600
19-03-1981,0.0884,0.0884,0.088,0.088,37811200
20-03-1981,0.0888,0.0897,0.0888,0.0888,14604800
23-03-1981,0.0923,0.0932,0.0923,0.0923,22019200
24-03-1981,0.0923,0.0923,0.0919,0.0919,28156800
25-03-1981,0.091,0.091,0.0902,0.0902,7056000
26-03-1981,0.0888,0.0888,0.0884,0.0884,12275200
27-03-1981,0.0858,0.0858,0.0854,0.0854,12252800
30-03-1981,0.0854,0.0863,0.0854,0.0854,9900800
31-03-1981,0.0854,0.0854,0.0845,0.0845,15993600
01-04-1981,0.0841,0.0841,0.0837,0.0837,34070400
02-04-1981,0.091,0.0914,0.091,0.091,31404800
03-04-1981,0.0914,0.0919,0.0914,0.0914,16486400
06-04-1981,0.0902,0.0902,0.0897,0.0897,22803200
07-04-1981,0.0893,0.0893,0.0888,0.0888,10684800
08-04-1981,0.0932,0.094,0.0932,0.0932,21952000
09-04-1981,0.0949,0.0953,0.0949,0.0949,12499200
10-04-1981,0.0962,0.0966,0.0962,0.0962,33465600
13-04-1981,0.0962,0.0966,0.0962,0.0962,16060800
14-04-1981,0.0962,0.0966,0.0962,0.0962,6652800
15-04-1981,0.0919,0.0919,0.0914,0.0914,34048000
16-04-1981,0.0867,0.0867,0.0863,0.0863,23878400
20-04-1981,0.0888,0.0893,0.0888,0.0888,35347200
21-04-1981,0.0949,0.0953,0.0949,0.0949,28537600
22-04-1981,0.0983,0.0987,0.0983,0.0983,18995200
23-04-1981,0.1009,0.1013,0.1009,0.1009,58016000
24-04-1981,0.1009,0.1009,0.1001,0.1001,35056000
27-04-1981,0.0996,0.0996,0.0992,0.0992,38528000
28-04-1981,0.0979,0.0979,0.0975,0.0975,32188800
29-04-1981,0.0966,0.0966,0.0962,0.0962,13641600
30-04-1981,0.0979,0.0987,0.0979,0.0979,12611200
01-05-1981,0.0979,0.0987,0.0979,0.0979,16553600
04-05-1981,0.0979,0.0979,0.0975,0.0975,14448000
05-05-1981,0.0975,0.0975,0.097,0.097,17539200
06-05-1981,0.0949,0.0949,0.0945,0.0945,18950400
07-05-1981,0.0957,0.0962,0.0957,0.0957,9363200
08-05-1981,0.0966,0.097,0.0966,0.0966,7907200
11-05-1981,0.0949,0.0949,0.0945,0.0945,11939200
12-05-1981,0.0945,0.0957,0.0945,0.0945,4256000
13-05-1981,0.0945,0.0953,0.094,0.094,4905600
14-05-1981,0.0936,0.0936,0.0927,0.0927,4928000
15-05-1981,0.0949,0.0962,0.0949,0.0949,4905600
18-05-1981,0.0966,0.0975,0.0966,0.0966,4166400
19-05-1981,0.0953,0.0953,0.0949,0.0949,25424000
20-05-1981,0.0979,0.0987,0.0979,0.0979,13283200
21-05-1981,0.1035,0.104,0.1035,0.1035,32211200
22-05-1981,0.1083,0.1091,0.1083,0.1083,31427200
26-05-1981,0.1083,0.1083,0.1078,0.1078,85344000
27-05-1981,0.1139,0.1143,0.1139,0.1139,149497600
28-05-1981,0.1139,0.1143,0.1139,0.1139,73987200
29-05-1981,0.1143,0.1147,0.1143,0.1143,59382400
01-06-1981,0.1143,0.1147,0.1143,0.1143,51251200
02-06-1981,0.1091,0.1091,0.1087,0.1087,40432000
03-06-1981,0.1087,0.1095,0.1087,0.1087,39446400
04-06-1981,0.1108,0.1113,0.1108,0.1108,56067200
05-06-1981,0.1095,0.1095,0.1091,0.1091,57680000
08-06-1981,0.1057,0.1057,0.1052,0.1052,93497600
09-06-1981,0.1074,0.1078,0.1074,0.1074,119593600
10-06-1981,0.1087,0.11,0.1087,0.1087,25222400
11-06-1981,0.1134,0.1139,0.1134,0.1134,38976000
12-06-1981,0.1126,0.1126,0.1121,0.1121,25804800
15-06-1981,0.1121,0.1121,0.1117,0.1117,143763200
16-06-1981,0.11,0.11,0.1095,0.1095,37251200
17-06-1981,0.1083,0.1083,0.1078,0.1078,27574400
18-06-1981,0.1078,0.1083,0.1074,0.1074,23049600
19-06-1981,0.1048,0.1048,0.1044,0.1044,27507200
22-06-1981,0.1009,0.1009,0.1005,0.1005,10841600
23-06-1981,0.1022,0.1031,0.1022,0.1022,15030400
24-06-1981,0.1005,0.1005,0.0996,0.0996,23027200
25-06-1981,0.1018,0.1022,0.1018,0.1018,24259200
26-06-1981,0.1013,0.1013,0.1005,0.1005,23788800
29-06-1981,0.0979,0.0979,0.097,0.097,10595200
30-06-1981,0.0902,0.0902,0.0897,0.0897,35907200
01-07-1981,0.0893,0.0893,0.0888,0.0888,170464000
02-07-1981,0.0888,0.0893,0.0888,0.0888,30284800
06-07-1981,0.0867,0.0867,0.0858,0.0858,16531200
07-07-1981,0.0867,0.0875,0.0867,0.0867,15836800
08-07-1981,0.0902,0.0906,0.0902,0.0902,16620800
09-07-1981,0.0837,0.0837,0.0832,0.0832,32883200
10-07-1981,0.0772,0.0772,0.0768,0.0768,55171200
13-07-1981,0.0785,0.0789,0.0785,0.0785,45740800
14-07-1981,0.0819,0.0828,0.0819,0.0819,19779200
15-07-1981,0.0841,0.0845,0.0841,0.0841,10953600
16-07-1981,0.0863,0.0871,0.0863,0.0863,15232000
17-07-1981,0.0893,0.0897,0.0893,0.0893,19824000
20-07-1981,0.0837,0.0837,0.0832,0.0832,23654400
21-07-1981,0.0832,0.0832,0.0828,0.0828,31942400
22-07-1981,0.0789,0.0789,0.0781,0.0781,22668800
23-07-1981,0.0802,0.0806,0.0802,0.0802,34451200
24-07-1981,0.0828,0.0832,0.0828,0.0828,28851200
27-07-1981,0.0863,0.0867,0.0863,0.0863,17337600
28-07-1981,0.0837,0.0837,0.0832,0.0832,22848000
29-07-1981,0.0824,0.0824,0.0819,0.0819,15500800
30-07-1981,0.0849,0.0858,0.0849,0.0849,9900800
31-07-1981,0.0863,0.0867,0.0863,0.0863,10953600
03-08-1981,0.0863,0.0863,0.0854,0.0854,12432000
04-08-1981,0.0867,0.0871,0.0867,0.0867,31673600
05-08-1981,0.0893,0.0897,0.0893,0.0893,17494400
06-08-1981,0.0875,0.0875,0.0871,0.0871,10528000
07-08-1981,0.0871,0.0875,0.0871,0.0871,9206400
11-08-1981,0.0854,0.0854,0.0845,0.0845,71456000
12-08-1981,0.0832,0.0832,0.0828,0.0828,26275200
13-08-1981,0.0806,0.0806,0.0802,0.0802,27484800
14-08-1981,0.0798,0.0798,0.0789,0.0789,24192000
17-08-1981,0.0772,0.0772,0.0764,0.0764,18905600
18-08-1981,0.0755,0.0755,0.0746,0.0746,17001600
19-08-1981,0.0746,0.0746,0.0738,0.0738,20675200
20-08-1981,0.0746,0.075,0.0746,0.0746,17113600
21-08-1981,0.0703,0.0703,0.0695,0.0695,41910400
24-08-1981,0.0656,0.0656,0.0651,0.0651,23072000
25-08-1981,0.0668,0.0673,0.0668,0.0668,40700800
26-08-1981,0.066,0.066,0.0656,0.0656,33600000
27-08-1981,0.066,0.0664,0.066,0.066,25916800
28-08-1981,0.0695,0.0699,0.0695,0.0695,38035200
31-08-1981,0.0695,0.0699,0.0695,0.0695,40947200
01-09-1981,0.0738,0.0742,0.0738,0.0738,37027200
02-09-1981,0.075,0.0755,0.075,0.075,19376000
03-09-1981,0.072,0.072,0.0711,0.0711,37475200
04-09-1981,0.0707,0.0707,0.0703,0.0703,15254400
08-09-1981,0.0686,0.0686,0.0681,0.0681,25446400
09-09-1981,0.0681,0.0686,0.0681,0.0681,30531200
10-09-1981,0.0686,0.069,0.0686,0.0686,34809600
11-09-1981,0.0681,0.0681,0.0677,0.0677,17539200
14-09-1981,0.066,0.066,0.0656,0.0656,27686400
15-09-1981,0.0643,0.0643,0.0638,0.0638,19510400
16-09-1981,0.063,0.063,0.0625,0.0625,19353600
17-09-1981,0.0612,0.0612,0.0608,0.0608,19376000
18-09-1981,0.0612,0.0617,0.0612,0.0612,26320000
21-09-1981,0.0617,0.0621,0.0617,0.0617,49033600
22-09-1981,0.0587,0.0587,0.0582,0.0582,47420800
23-09-1981,0.0578,0.0578,0.0569,0.0569,28201600
24-09-1981,0.0569,0.0569,0.0565,0.0565,18300800
25-09-1981,0.05,0.05,0.0492,0.0492,34608000
28-09-1981,0.0496,0.05,0.0496,0.0496,91728000
29-09-1981,0.0522,0.0526,0.0522,0.0522,94684800
30-09-1981,0.0526,0.053,0.0526,0.0526,49996800
01-10-1981,0.0526,0.053,0.0526,0.0526,61129600
02-10-1981,0.0569,0.0574,0.0569,0.0569,45046400
05-10-1981,0.0587,0.0595,0.0587,0.0587,43097600
06-10-1981,0.0587,0.0587,0.0582,0.0582,28358400
07-10-1981,0.0617,0.0625,0.0617,0.0617,38841600
08-10-1981,0.0638,0.0643,0.0638,0.0638,31091200
09-10-1981,0.0643,0.0651,0.0643,0.0643,54521600
12-10-1981,0.0664,0.0668,0.0664,0.0664,27350400
13-10-1981,0.0664,0.0673,0.0664,0.0664,44195200
14-10-1981,0.063,0.063,0.0625,0.0625,30979200
15-10-1981,0.0638,0.0643,0.0638,0.0638,29433600
16-10-1981,0.0634,0.0634,0.063,0.063,36467200
19-10-1981,0.0643,0.0647,0.0643,0.0643,20585600
20-10-1981,0.0677,0.0681,0.0677,0.0677,35728000
21-10-1981,0.0677,0.0681,0.0677,0.0677,76899200
22-10-1981,0.0677,0.0677,0.0673,0.0673,32278400
23-10-1981,0.066,0.066,0.0656,0.0656,27910400
26-10-1981,0.0656,0.066,0.0656,0.0656,27283200
27-10-1981,0.0668,0.0677,0.0668,0.0668,85590400
28-10-1981,0.069,0.0695,0.069,0.069,44172800
29-10-1981,0.0686,0.0686,0.0681,0.0681,30486400
30-10-1981,0.069,0.0695,0.069,0.069,52729600
