date,open,high,low,close,volume
28-04-2016,100.9482,100.9482,98.7679,99.4146,971815
29-04-2016,98.5369,99.1836,97.8348,98.7125,1791105
02-05-2016,99.3961,99.5624,97.3267,99.0081,2120658
03-05-2016,94.4997,97.1234,94.2411,96.5414,1398093
04-05-2016,96.0426,97.0311,95.4328,96.3474,956322
05-05-2016,96.449,97.4376,96.4398,96.6985,871954
06-05-2016,93.0124,96.5322,90.2131,96.3289,1095127
09-05-2016,96.0795,96.8232,95.6915,96.5599,661042
10-05-2016,96.7909,97.6685,96.6985,96.9664,868031
11-05-2016,96.9664,97.9826,96.7632,97.1327,992073
12-05-2016,97.5946,98.2136,96.9387,97.8902,915699
13-05-2016,97.687,98.4723,96.6985,96.9294,773490
16-05-2016,96.7539,98.5693,96.486,98.3799,756550
17-05-2016,98.3337,98.6847,97.4514,97.65,1050957
18-05-2016,97.7147,99.2483,97.493,98.8972,1091019
19-05-2016,98.1027,98.9157,97.2343,98.7125,871246
20-05-2016,99.3499,100.3569,99.1005,99.8395,1113360
23-05-2016,99.3869,100.8003,99.2021,100.5509,944214
24-05-2016,100.94,103.8038,100.3005,103.4887,1347260
25-05-2016,103.3404,103.5073,102.0429,103.1087,862344
26-05-2016,102.8677,103.0624,102.117,102.3117,793621
27-05-2016,102.9604,103.4887,102.3951,103.3126,537461
31-05-2016,103.8502,104.499,102.877,103.6277,1285302
01-06-2016,102.8956,102.8956,101.839,102.6917,967144
02-06-2016,102.1634,102.9141,101.7,102.3673,917424
03-06-2016,101.9687,102.256,100.5692,101.6165,1104707
06-06-2016,102.0707,102.7468,101.8482,102.1912,908190
07-06-2016,102.256,102.5248,101.5053,101.598,757596
08-06-2016,101.8297,102.4599,101.2551,101.9873,681360
09-06-2016,101.6165,102.1282,101.1068,101.9873,742593
10-06-2016,101.0141,101.218,99.2531,99.6424,751036
13-06-2016,99.5868,100.4024,99.2717,99.3829,1021343
14-06-2016,99.2995,99.7907,98.6322,99.04,913222
15-06-2016,99.1327,100.217,98.9288,99.2439,855740
16-06-2016,98.5302,99.8,97.7285,99.6239,659745
17-06-2016,99.6795,100.3746,98.5858,98.9288,1097462
20-06-2016,100.2541,101.2273,99.4014,99.4571,1388979
21-06-2016,99.7722,100.3468,99.4571,99.939,783611
22-06-2016,100.0966,100.0966,99.2161,99.2902,1116825
23-06-2016,100.6248,102.5526,100.217,102.5248,1326355
24-06-2016,98.4839,99.5868,95.9907,96.519,5008840
27-06-2016,95.4068,95.4068,91.8942,92.1074,1790295
28-06-2016,93.1454,94.202,92.5615,94.1556,1232232
29-06-2016,95.2771,98.2707,94.2205,98.2429,1439628
30-06-2016,98.2707,99.4663,97.242,99.4107,1709563
01-07-2016,99.2717,101.1161,99.2717,99.9668,891699
05-07-2016,99.2717,99.9575,97.6312,98.4005,958897
06-07-2016,97.4551,99.0678,97.0844,98.9658,1155886
07-07-2016,98.8732,100.0595,97.8907,99.4571,824412
08-07-2016,100.977,101.3014,100.3097,100.9029,1221004
11-07-2016,101.6165,102.7936,101.4034,102.1912,1135731
12-07-2016,103.3219,104.9994,102.8307,104.7121,1247921
